"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"06/01/2021 09:00:00 - 06/01/2021 10:00:00","BZN|DK1","3274.00","3325.09"
"06/01/2021 10:00:00 - 06/01/2021 11:00:00","BZN|DK1","3324.00","3380.21"
"06/01/2021 11:00:00 - 06/01/2021 12:00:00","BZN|DK1","3337.00","3401.32"
"06/01/2021 12:00:00 - 06/01/2021 13:00:00","BZN|DK1","3310.00","3340.91"
"06/01/2021 13:00:00 - 06/01/2021 14:00:00","BZN|DK1","3322.00","3335.11"
"06/01/2021 14:00:00 - 06/01/2021 15:00:00","BZN|DK1","3306.00","3287.81"
"06/01/2021 15:00:00 - 06/01/2021 16:00:00","BZN|DK1","3246.00","3212.49"
"06/01/2021 16:00:00 - 06/01/2021 17:00:00","BZN|DK1","3289.00","3322.84"
"06/01/2021 17:00:00 - 06/01/2021 18:00:00","BZN|DK1","3521.00","3461.60"
"06/01/2021 18:00:00 - 06/01/2021 19:00:00","BZN|DK1","3313.00","3298.11"
"06/01/2021 19:00:00 - 06/01/2021 20:00:00","BZN|DK1","3118.00","3081.98"
"06/01/2021 20:00:00 - 06/01/2021 21:00:00","BZN|DK1","2960.00","2910.47"
"06/01/2021 21:00:00 - 06/01/2021 22:00:00","BZN|DK1","2818.00","2779.27"
"06/01/2021 22:00:00 - 06/01/2021 23:00:00","BZN|DK1","2718.00","2638.18"
"06/01/2021 23:00:00 - 07/01/2021 00:00:00","BZN|DK1","2585.00","2449.79"
"07/01/2021 00:00:00 - 07/01/2021 01:00:00","BZN|DK1","2306.00","2320.65"
"07/01/2021 01:00:00 - 07/01/2021 02:00:00","BZN|DK1","2205.00","2262.32"
"07/01/2021 02:00:00 - 07/01/2021 03:00:00","BZN|DK1","2194.00","2240.93"
"07/01/2021 03:00:00 - 07/01/2021 04:00:00","BZN|DK1","2213.00","2245.24"
"07/01/2021 04:00:00 - 07/01/2021 05:00:00","BZN|DK1","2281.00","2298.45"
"07/01/2021 05:00:00 - 07/01/2021 06:00:00","BZN|DK1","2404.00","2418.17"
"07/01/2021 06:00:00 - 07/01/2021 07:00:00","BZN|DK1","2662.00","2735.11"
"07/01/2021 07:00:00 - 07/01/2021 08:00:00","BZN|DK1","3079.00","3141.12"
"07/01/2021 08:00:00 - 07/01/2021 09:00:00","BZN|DK1","3293.00","3296.86"
"07/01/2021 09:00:00 - 07/01/2021 10:00:00","BZN|DK1","3255.00","3256.20"
"07/01/2021 10:00:00 - 07/01/2021 11:00:00","BZN|DK1","3279.00","3309.81"
"07/01/2021 11:00:00 - 07/01/2021 12:00:00","BZN|DK1","3258.00","3315.95"
"07/01/2021 12:00:00 - 07/01/2021 13:00:00","BZN|DK1","3239.00","3280.07"
"07/01/2021 13:00:00 - 07/01/2021 14:00:00","BZN|DK1","3260.00","3247.64"
"07/01/2021 14:00:00 - 07/01/2021 15:00:00","BZN|DK1","3218.00","3208.41"
"07/01/2021 15:00:00 - 07/01/2021 16:00:00","BZN|DK1","3169.00","3154.13"
"07/01/2021 16:00:00 - 07/01/2021 17:00:00","BZN|DK1","3201.00","3240.04"
"07/01/2021 17:00:00 - 07/01/2021 18:00:00","BZN|DK1","3473.00","3466.93"
"07/01/2021 18:00:00 - 07/01/2021 19:00:00","BZN|DK1","3309.00","3314.24"
"07/01/2021 19:00:00 - 07/01/2021 20:00:00","BZN|DK1","3172.00","3108.87"
"07/01/2021 20:00:00 - 07/01/2021 21:00:00","BZN|DK1","2968.00","2922.83"
"07/01/2021 21:00:00 - 07/01/2021 22:00:00","BZN|DK1","2876.00","2756.48"
"07/01/2021 22:00:00 - 07/01/2021 23:00:00","BZN|DK1","2765.00","2601.63"
"07/01/2021 23:00:00 - 08/01/2021 00:00:00","BZN|DK1","2614.00","2409.65"
"08/01/2021 00:00:00 - 08/01/2021 01:00:00","BZN|DK1","2289.00","2290.32"
"08/01/2021 01:00:00 - 08/01/2021 02:00:00","BZN|DK1","2195.00","2227.75"
"08/01/2021 02:00:00 - 08/01/2021 03:00:00","BZN|DK1","2170.00","2204.06"
"08/01/2021 03:00:00 - 08/01/2021 04:00:00","BZN|DK1","2185.00","2192.86"
"08/01/2021 04:00:00 - 08/01/2021 05:00:00","BZN|DK1","2302.00","2239.47"
"08/01/2021 05:00:00 - 08/01/2021 06:00:00","BZN|DK1","2377.00","2362.83"
"08/01/2021 06:00:00 - 08/01/2021 07:00:00","BZN|DK1","2669.00","2698.76"
"08/01/2021 07:00:00 - 08/01/2021 08:00:00","BZN|DK1","3056.00","3128.46"
"08/01/2021 08:00:00 - 08/01/2021 09:00:00","BZN|DK1","3255.00","3273.56"
"08/01/2021 09:00:00 - 08/01/2021 10:00:00","BZN|DK1","3219.00","3262.63"
"08/01/2021 10:00:00 - 08/01/2021 11:00:00","BZN|DK1","3272.00","3283.68"
"08/01/2021 11:00:00 - 08/01/2021 12:00:00","BZN|DK1","3240.00","3248.73"
"08/01/2021 12:00:00 - 08/01/2021 13:00:00","BZN|DK1","3119.00","3112.35"
"08/01/2021 13:00:00 - 08/01/2021 14:00:00","BZN|DK1","3032.00","3049.88"
"08/01/2021 14:00:00 - 08/01/2021 15:00:00","BZN|DK1","2956.00","2944.48"
"08/01/2021 15:00:00 - 08/01/2021 16:00:00","BZN|DK1","2881.00","2871.94"
"08/01/2021 16:00:00 - 08/01/2021 17:00:00","BZN|DK1","3020.00","2998.32"
"08/01/2021 17:00:00 - 08/01/2021 18:00:00","BZN|DK1","3198.00","3215.14"
