"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"05/01/2021 03:00:00 - 05/01/2021 04:00:00","BZN|DK1","Without sequence","27.14",""
"05/01/2021 04:00:00 - 05/01/2021 05:00:00","BZN|DK1","Without sequence","27.79",""
"05/01/2021 05:00:00 - 05/01/2021 06:00:00","BZN|DK1","Without sequence","29.81",""
"05/01/2021 06:00:00 - 05/01/2021 07:00:00","BZN|DK1","Without sequence","35.78",""
"05/01/2021 07:00:00 - 05/01/2021 08:00:00","BZN|DK1","Without sequence","53.64",""
"05/01/2021 08:00:00 - 05/01/2021 09:00:00","BZN|DK1","Without sequence","60.0",""
"05/01/2021 09:00:00 - 05/01/2021 10:00:00","BZN|DK1","Without sequence","60.12",""
"05/01/2021 10:00:00 - 05/01/2021 11:00:00","BZN|DK1","Without sequence","61.18",""
"05/01/2021 11:00:00 - 05/01/2021 12:00:00","BZN|DK1","Without sequence","62.46",""
"05/01/2021 12:00:00 - 05/01/2021 13:00:00","BZN|DK1","Without sequence","61.48",""
"05/01/2021 13:00:00 - 05/01/2021 14:00:00","BZN|DK1","Without sequence","62.29",""
"05/01/2021 14:00:00 - 05/01/2021 15:00:00","BZN|DK1","Without sequence","61.89",""
"05/01/2021 15:00:00 - 05/01/2021 16:00:00","BZN|DK1","Without sequence","62.51",""
"05/01/2021 16:00:00 - 05/01/2021 17:00:00","BZN|DK1","Without sequence","64.26",""
"05/01/2021 17:00:00 - 05/01/2021 18:00:00","BZN|DK1","Without sequence","65.6",""
"05/01/2021 18:00:00 - 05/01/2021 19:00:00","BZN|DK1","Without sequence","60.13",""
"05/01/2021 19:00:00 - 05/01/2021 20:00:00","BZN|DK1","Without sequence","54.66",""
"05/01/2021 20:00:00 - 05/01/2021 21:00:00","BZN|DK1","Without sequence","40.78",""
"05/01/2021 21:00:00 - 05/01/2021 22:00:00","BZN|DK1","Without sequence","39.6",""
"05/01/2021 22:00:00 - 05/01/2021 23:00:00","BZN|DK1","Without sequence","32.06",""
"05/01/2021 23:00:00 - 06/01/2021 00:00:00","BZN|DK1","Without sequence","29.21",""
"06/01/2021 00:00:00 - 06/01/2021 01:00:00","BZN|DK1","Without sequence","29.83",""
"06/01/2021 01:00:00 - 06/01/2021 02:00:00","BZN|DK1","Without sequence","28.72",""
"06/01/2021 02:00:00 - 06/01/2021 03:00:00","BZN|DK1","Without sequence","28.11",""
"06/01/2021 03:00:00 - 06/01/2021 04:00:00","BZN|DK1","Without sequence","27.98",""
"06/01/2021 04:00:00 - 06/01/2021 05:00:00","BZN|DK1","Without sequence","28.16",""
"06/01/2021 05:00:00 - 06/01/2021 06:00:00","BZN|DK1","Without sequence","29.0",""
"06/01/2021 06:00:00 - 06/01/2021 07:00:00","BZN|DK1","Without sequence","30.72",""
"06/01/2021 07:00:00 - 06/01/2021 08:00:00","BZN|DK1","Without sequence","35.54",""
"06/01/2021 08:00:00 - 06/01/2021 09:00:00","BZN|DK1","Without sequence","39.18",""
"06/01/2021 09:00:00 - 06/01/2021 10:00:00","BZN|DK1","Without sequence","41.88",""
"06/01/2021 10:00:00 - 06/01/2021 11:00:00","BZN|DK1","Without sequence","46.07",""
"06/01/2021 11:00:00 - 06/01/2021 12:00:00","BZN|DK1","Without sequence","45.27",""
"06/01/2021 12:00:00 - 06/01/2021 13:00:00","BZN|DK1","Without sequence","46.21",""
"06/01/2021 13:00:00 - 06/01/2021 14:00:00","BZN|DK1","Without sequence","47.35",""
"06/01/2021 14:00:00 - 06/01/2021 15:00:00","BZN|DK1","Without sequence","51.31",""
"06/01/2021 15:00:00 - 06/01/2021 16:00:00","BZN|DK1","Without sequence","54.9",""
"06/01/2021 16:00:00 - 06/01/2021 17:00:00","BZN|DK1","Without sequence","58.4",""
"06/01/2021 17:00:00 - 06/01/2021 18:00:00","BZN|DK1","Without sequence","59.93",""
"06/01/2021 18:00:00 - 06/01/2021 19:00:00","BZN|DK1","Without sequence","55.67",""
"06/01/2021 19:00:00 - 06/01/2021 20:00:00","BZN|DK1","Without sequence","50.25",""
"06/01/2021 20:00:00 - 06/01/2021 21:00:00","BZN|DK1","Without sequence","39.84",""
"06/01/2021 21:00:00 - 06/01/2021 22:00:00","BZN|DK1","Without sequence","39.93",""
"06/01/2021 22:00:00 - 06/01/2021 23:00:00","BZN|DK1","Without sequence","38.7",""
"06/01/2021 23:00:00 - 07/01/2021 00:00:00","BZN|DK1","Without sequence","32.5",""
"07/01/2021 00:00:00 - 07/01/2021 01:00:00","BZN|DK1","Without sequence","43.08",""
"07/01/2021 01:00:00 - 07/01/2021 02:00:00","BZN|DK1","Without sequence","40.9",""
"07/01/2021 02:00:00 - 07/01/2021 03:00:00","BZN|DK1","Without sequence","39.19",""
"07/01/2021 03:00:00 - 07/01/2021 04:00:00","BZN|DK1","Without sequence","39.78",""
"07/01/2021 04:00:00 - 07/01/2021 05:00:00","BZN|DK1","Without sequence","41.28",""
"07/01/2021 05:00:00 - 07/01/2021 06:00:00","BZN|DK1","Without sequence","45.54",""
"07/01/2021 06:00:00 - 07/01/2021 07:00:00","BZN|DK1","Without sequence","55.97",""
"07/01/2021 07:00:00 - 07/01/2021 08:00:00","BZN|DK1","Without sequence","67.8",""
"07/01/2021 08:00:00 - 07/01/2021 09:00:00","BZN|DK1","Without sequence","84.43",""
"07/01/2021 09:00:00 - 07/01/2021 10:00:00","BZN|DK1","Without sequence","83.86",""
"07/01/2021 10:00:00 - 07/01/2021 11:00:00","BZN|DK1","Without sequence","82.44",""
"07/01/2021 11:00:00 - 07/01/2021 12:00:00","BZN|DK1","Without sequence","85.99",""
"07/01/2021 12:00:00 - 07/01/2021 13:00:00","BZN|DK1","Without sequence","84.71",""
"07/01/2021 13:00:00 - 07/01/2021 14:00:00","BZN|DK1","Without sequence","82.29",""
"07/01/2021 14:00:00 - 07/01/2021 15:00:00","BZN|DK1","Without sequence","78.62",""
"07/01/2021 15:00:00 - 07/01/2021 16:00:00","BZN|DK1","Without sequence","81.57",""
"07/01/2021 16:00:00 - 07/01/2021 17:00:00","BZN|DK1","Without sequence","89.68",""
"07/01/2021 17:00:00 - 07/01/2021 18:00:00","BZN|DK1","Without sequence","99.91",""
"07/01/2021 18:00:00 - 07/01/2021 19:00:00","BZN|DK1","Without sequence","84.62",""
"07/01/2021 19:00:00 - 07/01/2021 20:00:00","BZN|DK1","Without sequence","77.79",""
"07/01/2021 20:00:00 - 07/01/2021 21:00:00","BZN|DK1","Without sequence","65.2",""
"07/01/2021 21:00:00 - 07/01/2021 22:00:00","BZN|DK1","Without sequence","59.33",""
"07/01/2021 22:00:00 - 07/01/2021 23:00:00","BZN|DK1","Without sequence","58.26",""
"07/01/2021 23:00:00 - 08/01/2021 00:00:00","BZN|DK1","Without sequence","52.25",""
"08/01/2021 00:00:00 - 08/01/2021 01:00:00","BZN|DK1","Without sequence","49.31",""
"08/01/2021 01:00:00 - 08/01/2021 02:00:00","BZN|DK1","Without sequence","47.38",""
"08/01/2021 02:00:00 - 08/01/2021 03:00:00","BZN|DK1","Without sequence","45.78",""
"08/01/2021 03:00:00 - 08/01/2021 04:00:00","BZN|DK1","Without sequence","44.51",""
"08/01/2021 04:00:00 - 08/01/2021 05:00:00","BZN|DK1","Without sequence","45.69",""
"08/01/2021 05:00:00 - 08/01/2021 06:00:00","BZN|DK1","Without sequence","50.33",""
"08/01/2021 06:00:00 - 08/01/2021 07:00:00","BZN|DK1","Without sequence","59.71",""
"08/01/2021 07:00:00 - 08/01/2021 08:00:00","BZN|DK1","Without sequence","79.56",""
"08/01/2021 08:00:00 - 08/01/2021 09:00:00","BZN|DK1","Without sequence","103.54",""
"08/01/2021 09:00:00 - 08/01/2021 10:00:00","BZN|DK1","Without sequence","107.8",""
"08/01/2021 10:00:00 - 08/01/2021 11:00:00","BZN|DK1","Without sequence","107.32",""
"08/01/2021 11:00:00 - 08/01/2021 12:00:00","BZN|DK1","Without sequence","104.26",""
"08/01/2021 12:00:00 - 08/01/2021 13:00:00","BZN|DK1","Without sequence","99.91",""
"08/01/2021 13:00:00 - 08/01/2021 14:00:00","BZN|DK1","Without sequence","95.27",""
"08/01/2021 14:00:00 - 08/01/2021 15:00:00","BZN|DK1","Without sequence","92.72",""
"08/01/2021 15:00:00 - 08/01/2021 16:00:00","BZN|DK1","Without sequence","95.42",""
"08/01/2021 16:00:00 - 08/01/2021 17:00:00","BZN|DK1","Without sequence","95.0",""
"08/01/2021 17:00:00 - 08/01/2021 18:00:00","BZN|DK1","Without sequence","110.0",""
"08/01/2021 18:00:00 - 08/01/2021 19:00:00","BZN|DK1","Without sequence","99.95",""
"08/01/2021 19:00:00 - 08/01/2021 20:00:00","BZN|DK1","Without sequence","80.12",""
"08/01/2021 20:00:00 - 08/01/2021 21:00:00","BZN|DK1","Without sequence","64.24",""
"08/01/2021 21:00:00 - 08/01/2021 22:00:00","BZN|DK1","Without sequence","59.43",""
"08/01/2021 22:00:00 - 08/01/2021 23:00:00","BZN|DK1","Without sequence","56.22",""
"08/01/2021 23:00:00 - 09/01/2021 00:00:00","BZN|DK1","Without sequence","51.75",""
"09/01/2021 00:00:00 - 09/01/2021 01:00:00","BZN|DK1","Without sequence","50.67",""
"09/01/2021 01:00:00 - 09/01/2021 02:00:00","BZN|DK1","Without sequence","48.6",""
"09/01/2021 02:00:00 - 09/01/2021 03:00:00","BZN|DK1","Without sequence","48.02",""
